eeschema (2013-may-18)-stable  >> Creation date: Fri Feb  6 22:51:43 2015
#Cmp ( order = Reference )
| C1         100n                            ; SMD_Packages:SMD-0603_c;             
| C2         100n                            ; SMD_Packages:SMD-0603_c;             
| C3         2.2u                            ; SMD_Packages:SMD-0603_c;             
| C4         2.2u                            ; SMD_Packages:SMD-0402;             
| C5         4n7                             ; SMD_Packages:SMD-0603_c;             
| C6         4n7                             ; SMD_Packages:SMD-0603_c;             
| C7         4n7                             ; SMD_Packages:SMD-0603_c;             
| C8         4n7                             ; SMD_Packages:SMD-0603_c;             
| C9         2.2u                            ; SMD_Packages:SMD-0805;             
| C10        120p                            ; SMD_Packages:SMD-0603_c;             
| C11        2.2u                            ; SMD_Packages:SMD-0603_c;             
| C12        2.2u                            ; SMD_Packages:SMD-0603_c;             
| C13        6.8n                            ; SMD_Packages:SMD-0603_c;             
| C14        22n                             ; SMD_Packages:SMD-0603_c;             
| C15        2.2u                            ; SMD_Packages:SMD-0805;             
| C16        10u,50V                         ; SMD_Packages:SMD-1206;             
| C17        10u,50V                         ; SMD_Packages:SMD-1206;             
| C18        10u,50V                         ; SMD_Packages:SMD-1206;             
| C19        15n                             ; SMD_Packages:SMD-0603_c;             
| C20        100n                            ; SMD_Packages:SMD-0603_c;             
| C21        220n                            ; SMD_Packages:SMD-0805;             
| C22        220n                            ; SMD_Packages:SMD-0805;             
| C23        220n                            ; SMD_Packages:SMD-0805;             
| C24        2.2n                            ; SMD_Packages:SMD-0603_c;             
| C25        2.2n                            ; SMD_Packages:SMD-0603_c;             
| C26        2.2u                            ; SMD_Packages:SMD-0603_c;             
| C27        100u                            ; w_smd_cap:c_tant_B;             
| C28        10u,50V                         ; SMD_Packages:SMD-1206;             
| C29        100u                            ; w_smd_cap:c_tant_B;             
| C30        10u,50V                         ; SMD_Packages:SMD-1206;             
| C31        10u,50V                         ; SMD_Packages:SMD-1206;             
| C32        10u,50V                         ; SMD_Packages:SMD-1206;             
| C33        15u, 100v                       ; w_smd_cap:c_2220;             
| C34        10u,50V                         ; SMD_Packages:SMD-1206;             
| C35        15u,100V                        ; w_smd_cap:c_2220;             
| C36        4n7                             ; SMD_Packages:SMD-0603_c;             
| C37        4n7                             ; SMD_Packages:SMD-0603_c;             
| C38        4n7                             ; SMD_Packages:SMD-0603_c;             
| C39        4n7                             ; SMD_Packages:SMD-0603_c;             
| C40        15p                             ; SMD_Packages:SMD-0603_c;             
| C41        2.2u                            ; SMD_Packages:SMD-0603_c;             
| C42        2.2u                            ; SMD_Packages:SMD-0603_c;             
